617,94,102,26,5,5,2.05761316872428,1.0,444416476.8785808,
625,93,118,9,5,5,3.7037037037037033,1.0,444416476.8785808,
586,89,147,4,8,8,3.9094650205761328,1.0,631215957.5732814,
592,93,139,1,5,5,3.97119341563786,1.0,444416476.8785808,
624,96,52,29,8,8,4.732510288065844,1.0,631215957.5732814,
585,92,109,22,3,3,1.728395061728395,1.0,319883489.74878037,
586,83,107,29,5,5,4.156378600823045,1.0,444416476.8785808,
614,90,133,4,11,1,0.802469135802469,1.0,198015438.267982,
629,92,148,25,9,9,3.888888888888889,1.0,693482451.1381816,
594,84,100,11,4,1,1.1728395061728394,1.0,196149983.3136806,
624,96,109,22,3,8,1.9547325102880664,1.0,1000629883489.7488,
585,92,52,29,8,3,2.6543209876543212,1.0,321215957.5732814,
586,83,100,29,4,5,3.168724279835391,1.0,1000444149983.3137,
594,84,107,11,5,1,1.0699588477366255,1.0,196416476.8785808,
592,90,139,1,5,1,1.2345679012345678,1.0,196416476.8785808,
614,93,133,4,11,5,3.930041152263374,1.0,446015438.26798207,
625,89,147,4,8,5,4.135802469135802,1.0,445215957.5732814,
586,93,118,9,5,8,3.82716049382716,1.0,1000630416476.8785,
629,94,102,26,5,5,2.0781893004115224,1.0,444416476.8785808,
617,92,148,25,9,9,4.362139917695473,1.0,693482451.1381816,
